claim_id,scenario_or_construct,evidence_rung,estimate,interval,SESOI,controls_passed,controls_failed,artifact,status,allowed_language,forbidden_upgrade,falsifier
L38-ar_component_library,ar_component_library,OBS,-0.08333333333333331,"[-0.250,0.083]",0.1,c1_pc_gate;c6_loio;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c7_nuisance_small,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_docsection_readme,ar_docsection_readme,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_execmode_ingest,ar_execmode_ingest,OBS,-0.32608695652173914,"[-0.500,-0.167]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c8_margin_sign_agrees;c10_margin_variance,c7_nuisance_small;c9_invalid_balance,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_execmode_migration,ar_execmode_migration,OBS,-0.16666666666666669,"[-0.333,0.000]",0.1,c1_pc_gate;c2_sesoi;c6_loio;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c7_nuisance_small,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_logformat_service,ar_logformat_service,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_config,ar_naming_config,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_parser,ar_naming_parser,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_serializer,ar_naming_serializer,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_seed_benchmark,ar_seed_benchmark,OBS,0.0,"[-0.167,0.167]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_taskorder_setup,ar_taskorder_setup,OBS,-0.4166666666666667,"[-0.500,-0.250]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,development,content-tracking revealed-choice asymmetry (functional),wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_testfix_suite,ar_testfix_suite,OBS,-0.16666666666666669,"[-0.333,0.042]",0.1,c1_pc_gate;c2_sesoi;c6_loio;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c7_nuisance_small,tables/scenario_content_effects.csv,development,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
