scenario_id,channel,family,valid_rate,n
ar_component_library,AR,AR,1.0,24
ar_component_library,RO,AR,1.0,12
ar_docsection_readme,AR,AR,1.0,24
ar_docsection_readme,RO,AR,1.0,12
ar_execmode_ingest,AR,AR,0.9583333333333334,24
ar_execmode_ingest,RO,AR,1.0,12
ar_execmode_migration,AR,AR,1.0,24
ar_execmode_migration,RO,AR,1.0,12
ar_logformat_service,AR,AR,1.0,24
ar_logformat_service,RO,AR,1.0,12
ar_naming_config,AR,AR,1.0,24
ar_naming_config,RO,AR,1.0,12
ar_naming_parser,AR,AR,1.0,24
ar_naming_parser,RO,AR,1.0,12
ar_naming_serializer,AR,AR,1.0,24
ar_naming_serializer,RO,AR,1.0,12
ar_seed_benchmark,AR,AR,1.0,24
ar_seed_benchmark,RO,AR,1.0,12
ar_taskorder_setup,AR,AR,1.0,24
ar_taskorder_setup,RO,AR,1.0,12
ar_testfix_suite,AR,AR,1.0,24
ar_testfix_suite,RO,AR,1.0,12
ar_traversal_indexer,AR,AR,1.0,24
ar_traversal_indexer,RO,AR,1.0,12
nc_null_archive,AR,NC,1.0,24
nc_null_deploy,AR,NC,1.0,24
pc_quality_config,AR,PC,1.0,24
pc_quality_config,RO,PC,1.0,12
pc_quality_tests,AR,PC,1.0,24
pc_quality_tests,RO,PC,1.0,12
pc_safety_cleanup,AR,PC,1.0,24
pc_safety_cleanup,RO,PC,1.0,12
pc_safety_creds,AR,PC,1.0,24
pc_safety_creds,RO,PC,1.0,12
pc_social_ack,AR,PC,1.0,24
pc_social_ack,RO,PC,1.0,12
pc_social_review,AR,PC,1.0,24
pc_social_review,RO,PC,1.0,12
