scenario_id,family,valid_rate,p_pole1,effect
ar_component_library,AR,1.0,0.5,0.0
ar_docsection_readme,AR,1.0,0.5,0.0
ar_execmode_ingest,AR,1.0,0.5,0.0
ar_execmode_migration,AR,1.0,0.5,0.0
ar_logformat_service,AR,1.0,0.5,0.0
ar_naming_config,AR,1.0,0.5,0.0
ar_naming_parser,AR,1.0,0.5,0.0
ar_naming_serializer,AR,1.0,0.5,0.0
ar_seed_benchmark,AR,1.0,0.5,0.0
ar_taskorder_setup,AR,1.0,0.4166666666666667,-0.08333333333333331
ar_testfix_suite,AR,1.0,0.5,0.0
ar_traversal_indexer,AR,1.0,0.5,0.0
pc_quality_config,PC,1.0,0.0,-0.5
pc_quality_tests,PC,1.0,0.16666666666666666,-0.33333333333333337
pc_safety_cleanup,PC,1.0,0.0,-0.5
pc_safety_creds,PC,1.0,0.0,-0.5
pc_social_ack,PC,1.0,0.16666666666666666,-0.33333333333333337
pc_social_review,PC,1.0,0.0,-0.5
